,bee count,plant,state,county,latitude,longitude
66,1,Epilobium latifolium,Alaska,Valdez-Cordova,61.3871,-145.2288
67,1,Epilobium parviflorum,Alaska,Valdez-Cordova,63.193630000000006,-145.6486
68,1,Epilobium parviflorum,Alaska,Valdez-Cordova,63.193630000000006,-145.6486
69,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
70,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
71,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
72,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
73,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
74,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
75,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
76,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
77,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
78,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
79,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
80,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
81,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
82,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
83,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
84,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
85,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
86,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
87,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
88,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
89,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
90,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
91,1,Potentilla sp.,Alaska,Yukon-Koyukuk,67.8692,-149.8245
92,1,Melilotus alba,Alaska,Yukon-Koyukuk,67.0525,-150.32826
93,1,Melilotus alba,Alaska,Yukon-Koyukuk,67.0525,-150.32826
94,1,Melilotus alba,Alaska,Yukon-Koyukuk,66.7106,-150.6728
95,1,Melilotus alba,Alaska,Yukon-Koyukuk,66.7106,-150.6728
96,1,Melilotus alba,Alaska,Yukon-Koyukuk,66.7106,-150.6728
97,1,Melilotus alba,Alaska,Yukon-Koyukuk,66.7106,-150.6728
98,1,Melilotus alba,Alaska,Yukon-Koyukuk,66.7106,-150.6728
99,1,Melilotus alba,Alaska,Yukon-Koyukuk,66.7106,-150.6728
100,1,Trifolium repens,Alaska,Fairbanks North Star,65.2109,-148.1078
101,1,Epilobium parviflorum,Alaska,Fairbanks North Star,64.6401,-146.8648
102,1,Epilobium parviflorum,Alaska,Matanuska-Susitna,61.98675,-147.0767
103,1,Epilobium latifolium,Alaska,North Slope,68.104,-149.5293
104,1,Epilobium latifolium,Alaska,North Slope,68.104,-149.5293
105,1,Lupinus arboreus,California,Marin,38.075559999999996,-122.97572
106,1,Lupinus arboreus,California,Marin,38.075559999999996,-122.97572
109,1,Trifolium sp.,Oregon,Baker,45.00633,-117.51675
115,1,Geranium sp.,Wyoming,Big Horn,44.80227,-107.90035
116,1,Geranium sp.,Wyoming,Big Horn,44.80227,-107.90035
117,1,Mertensia sp.,Wyoming,Sheridan,44.76362,-107.75322
118,1,Mertensia sp.,Wyoming,Sheridan,44.76362,-107.75322
119,1,Mertensia sp.,Wyoming,Sheridan,44.76362,-107.75322
120,1,Mertensia sp.,Wyoming,Sheridan,44.76362,-107.75322
121,1,Mertensia sp.,Wyoming,Sheridan,44.76362,-107.75322
122,1,Mertensia sp.,Wyoming,Sheridan,44.76362,-107.75322
123,1,Mertensia sp.,Wyoming,Sheridan,44.76362,-107.75322
124,1,Mertensia sp.,Wyoming,Sheridan,44.76362,-107.75322
125,1,Mertensia sp.,Wyoming,Sheridan,44.76362,-107.75322
126,1,Mertensia sp.,Wyoming,Sheridan,44.76362,-107.75322
127,1,Mertensia sp.,Wyoming,Sheridan,44.76362,-107.75322
128,1,Mertensia sp.,Wyoming,Sheridan,44.76362,-107.75322
129,1,Mertensia sp.,Wyoming,Sheridan,44.76362,-107.75322
135,1,Epilobium parviflorum,Alaska,Valdez-Cordova,63.193630000000006,-145.6486
136,1,Epilobium parviflorum,Alaska,Valdez-Cordova,63.193630000000006,-145.6486
137,1,Epilobium parviflorum,Alaska,Valdez-Cordova,63.193630000000006,-145.6486
138,1,Epilobium parviflorum,Alaska,Valdez-Cordova,63.193630000000006,-145.6486
139,1,Epilobium parviflorum,Alaska,Valdez-Cordova,63.193630000000006,-145.6486
140,1,Epilobium parviflorum,Alaska,Valdez-Cordova,63.193630000000006,-145.6486
141,1,Epilobium latifolium,Alaska,North Slope,68.104,-149.5293
142,1,Epilobium latifolium,Alaska,North Slope,68.104,-149.5293
143,1,Epilobium latifolium,Alaska,North Slope,68.104,-149.5293
144,1,Epilobium parviflorum,Alaska,North Slope,68.64699999999999,-149.411
145,1,Epilobium parviflorum,Alaska,North Slope,68.64699999999999,-149.411
146,1,Epilobium parviflorum,Alaska,North Slope,68.64699999999999,-149.411
147,1,Epilobium parviflorum,Alaska,North Slope,68.64699999999999,-149.411
148,1,Epilobium parviflorum,Alaska,North Slope,68.64699999999999,-149.411
163,1,Delphinium sp.,Colorado,Larimer,40.430409999999995,-105.73381
164,1,Aster sp.,Colorado,Larimer,40.430409999999995,-105.73381
165,1,Aster sp.,Colorado,Larimer,40.430409999999995,-105.73381
166,1,Aster sp.,Colorado,Larimer,40.430409999999995,-105.73381
167,1,Aster sp.,Colorado,Larimer,40.430409999999995,-105.73381
168,1,Aster sp.,Colorado,Larimer,40.430409999999995,-105.73381
169,1,Aster sp.,Colorado,Larimer,40.430409999999995,-105.73381
263,1,Withheld,Utah,Garfield,38.0,-111.0
264,1,Cirsium sp.,Utah,Garfield,38.0657,-110.8185
269,1,Monardella sp.,Utah,Utah,39.8938,-111.0527
272,1,Geranium sp.,Wyoming,Big Horn,44.80227,-107.90035
273,1,Epilobium sp.,Wyoming,Fremont,42.74415,-108.81688
274,1,Lupinus sp.,Wyoming,Sheridan,44.7763,-107.4396
279,1,Lupinus sp.,Idaho,Fremont,44.30858,-111.45518999999999
281,1,Monarda sp.,Montana,Park,45.31757,-110.56695
282,1,Monarda sp.,Montana,Park,45.31757,-110.56695
283,1,Monarda sp.,Montana,Park,45.31757,-110.56695
284,1,Monarda sp.,Montana,Park,45.31757,-110.56695
285,1,Penstemon sp.,New Mexico,Otero,32.878,-105.7836
286,1,Cirsium sp.,New Mexico,Otero,32.8288,-105.7651
287,1,Cirsium sp.,New Mexico,Sandoval,35.8874,-106.4969
288,1,Cirsium sp.,New Mexico,Sandoval,35.8874,-106.4969
289,1,Cirsium sp.,New Mexico,Sandoval,35.961999999999996,-106.4897
290,1,Cirsium sp.,New Mexico,Sandoval,35.961999999999996,-106.4897
291,1,Cirsium sp.,New Mexico,Sandoval,35.961999999999996,-106.4897
292,1,Cirsium sp.,New Mexico,Sandoval,35.961999999999996,-106.4897
293,1,Cirsium sp.,New Mexico,Sandoval,35.961999999999996,-106.4897
294,1,Cirsium sp.,New Mexico,Sandoval,35.961999999999996,-106.4897
295,1,Cirsium sp.,New Mexico,Sandoval,35.961999999999996,-106.4897
296,1,Cirsium sp.,New Mexico,Sandoval,35.961999999999996,-106.4897
297,1,Cirsium sp.,New Mexico,Sandoval,35.961999999999996,-106.4897
298,1,Cirsium sp.,New Mexico,Sandoval,35.961999999999996,-106.4897
299,1,Cirsium sp.,New Mexico,Sandoval,35.961999999999996,-106.4897
300,1,Penstemon sp. (purple),California,Nevada,39.32565,-120.17383000000001
301,1,Penstemon sp. (purple),California,Nevada,39.32565,-120.17383000000001
302,1,Penstemon sp. (purple),California,Nevada,39.32565,-120.17383000000001
303,1,Penstemon sp. (purple),California,Nevada,39.32565,-120.17383000000001
304,1,Penstemon sp. (purple),California,Nevada,39.32565,-120.17383000000001
305,1,Penstemon sp. (purple),California,Nevada,39.32565,-120.17383000000001
306,1,Penstemon sp. (purple),California,Nevada,39.32565,-120.17383000000001
308,1,Cirsium sp.,Colorado,Larimer,40.39179,-105.48759
309,1,Cirsium sp.,Colorado,Larimer,40.39179,-105.48759
310,1,Cirsium sp.,Colorado,Larimer,40.39179,-105.48759
311,1,Cirsium sp.,Colorado,Gunnison,38.32304,-107.4761
312,1,Cirsium sp.,Colorado,Gunnison,38.32304,-107.4761
313,1,Cirsium sp.,Colorado,Gunnison,38.32304,-107.4761
314,1,Allium sp.,Colorado,Fremont,38.30141,-105.25665
315,1,Penstemon sp. (purple),California,Nevada,39.32565,-120.17383000000001
316,1,Penstemon sp. (purple),California,Nevada,39.32565,-120.17383000000001
317,1,Penstemon sp. (purple),California,Nevada,39.32565,-120.17383000000001
318,1,Penstemon sp. (purple),California,Nevada,39.32565,-120.17383000000001
336,1,Helichrysum sp.,Idaho,Boundary,48.85286,-116.27901000000001
337,1,Trifolium sp.,Idaho,Bonner,48.29945,-116.70358
338,1,Trifolium sp.,Montana,Cascade,46.85804,-110.67823
339,1,Monarda sp.,Montana,Park,45.31757,-110.56695
340,1,Symphoricarpos albus,Montana,Missoula,46.70816,-114.52658999999998
347,1,Symphoricarpos albus,Montana,Gallatin,44.75118,-111.26383
348,1,Symphoricarpos albus,Montana,Gallatin,44.75118,-111.26383
349,1,Cirsium arvense,Montana,Ravalli,46.06763,-114.24847
350,1,Trifolium sp.,Montana,Cascade,46.85804,-110.67823
351,1,Centaurea cyanus,Montana,Flathead,48.023759999999996,-115.01229
352,1,Epilobium angustifolium,Montana,Flathead,48.30446,-113.98406000000001
353,1,Epilobium angustifolium,Montana,Flathead,48.30446,-113.98406000000001
354,1,Epilobium angustifolium,Montana,Flathead,48.30446,-113.98406000000001
355,1,Epilobium angustifolium,Montana,Flathead,48.30446,-113.98406000000001
356,1,Epilobium angustifolium,Montana,Flathead,48.30446,-113.98406000000001
357,1,Epilobium angustifolium,Montana,Flathead,48.30446,-113.98406000000001
360,1,Phacelia sp.,Oregon,Baker,45.00649,-117.57936000000001
363,1,Cirsium sp.,Colorado,Boulder,39.94036,-105.5595
364,1,Melilotus sp.,Colorado,Chaffee,38.839690000000004,-105.98926000000002
365,1,Chrysothamnus nauseosus ssp.arenarius,Colorado,Chaffee,38.839690000000004,-105.98926000000002
366,1,Chrysothamnus sp.,Colorado,Chaffee,38.839690000000004,-105.98926000000002
367,1,Cirsium arvense,Colorado,Chaffee,38.839690000000004,-105.98926000000002
368,1,Cirsium arvense,Colorado,Chaffee,38.839690000000004,-105.98926000000002
369,1,Cirsium arvense,Colorado,Chaffee,38.839690000000004,-105.98926000000002
370,1,Cirsium arvense,Colorado,Chaffee,38.839690000000004,-105.98926000000002
371,1,Cirsium arvense,Colorado,Chaffee,38.839690000000004,-105.98926000000002
372,1,Cirsium arvense,Colorado,Chaffee,38.839690000000004,-105.98926000000002
373,1,Cirsium arvense,Colorado,Chaffee,38.839690000000004,-105.98926000000002
374,1,Cirsium arvense,Colorado,Chaffee,38.839690000000004,-105.98926000000002
375,1,Cirsium arvense,Colorado,Chaffee,38.839690000000004,-105.98926000000002
