,bee_count,plant,year,month,state,county,Latitude,Longitude,scientificName,fips,lat,lon,elevation,mean_temp,wind_speed,wind_gust,precipitation
0,1,,2009,6,Alabama,Bibb,33.045190000000005,-87.00591,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,44.1,8.3,28.0,0.0
1,1,,2009,6,Alabama,Dallas,32.21282,-86.97015,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,44.8,13.2,26.0,0.29
2,5,,2008,7,Arkansas,Benton,36.10147,-94.43522,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,49.9,12.0,26.0,0.54
3,1,,2008,7,Arkansas,Washington,35.82071,-94.15895,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,36.1,4.8,,0.16
4,10,,2009,8,Illinois,Champaign,39.93715,-88.27055,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,51.5,13.0,28.0,0.32
5,6,,2008,8,Illinois,Christian,39.51112,-89.3416,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,57.7,3.1,,0.0
6,11,,2008,8,Illinois,Christian,39.51112,-89.3416,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,34.1,7.9,20.0,0.3
7,2,,2009,7,Illinois,Christian,39.51112,-89.3416,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,47.1,5.0,,0.04
8,22,,2008,8,Illinois,Douglas,39.76056,-88.29737,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,59.1,4.0,,0.0
9,11,,2008,8,Illinois,Jackson,37.77345,-89.41856,Bombus pensylvanicus,6037,34.35892237,-118.21704869999999,305.7,58.2,1.7,,0.0
10,2,,2008,7,Illinois,Mason,40.25329,-90.08789,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,58.5,3.6,,0.0
11,1,,2009,7,Illinois,Piatt,40.00772,-88.64484,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,32.2,9.9,19.0,0.05
12,1,,2009,7,Illinois,Piatt,40.00772,-88.64484,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,47.4,8.4,28.0,0.14
13,8,,2008,8,Illinois,Pope,37.37934,-88.59228,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,61.7,5.7,18.1,0.0
14,1,,2008,8,Illinois,Pope,37.37934,-88.59228,Bombus pensylvanicus,6037,34.35892237,-118.21704869999999,305.7,65.8,10.9,24.1,0.0
15,4,,2009,8,Illinois,Union,37.4471,-89.11745,Bombus pensylvanicus,6059,33.70297871,-117.7610909,16.5,58.5,2.8,,0.0
16,4,,2009,8,Indiana,Dubois,38.409259999999996,-86.73048,Bombus pensylvanicus,17031,41.84003921,-87.81671569,186.5,31.1,6.0,,0.0
17,3,,2009,7,Iowa,Crawford,41.99105,-95.39279,Bombus pensylvanicus,53061,48.04748918,-121.6973065,41.8,47.3,11.3,20.0,0.13
18,6,,2008,9,Iowa,Mahaska,41.32979,-92.64732,Bombus pensylvanicus,4013,33.34881254,-112.4913064,295.1,61.4,4.5,,0.0
19,1,,2009,7,Iowa,Marion,41.407109999999996,-92.87099,Bombus pensylvanicus,6037,34.35892237,-118.21704869999999,305.7,67.0,8.5,15.9,0.0
