individualCount,associatedTaxa,year,month,state,county,Latitude,Longitude,scientificName
1,NULL,2009,6,Alabama,Bibb,33.04519,-87.00591,Bombus pensylvanicus
1,NULL,2009,6,Alabama,Dallas,32.21282,-86.97015,Bombus pensylvanicus
5,NULL,2008,7,Arkansas,Benton,36.10147,-94.43522,Bombus pensylvanicus
1,NULL,2008,7,Arkansas,Washington,35.82071,-94.15895,Bombus pensylvanicus
10,NULL,2009,8,Illinois,Champaign,39.93715,-88.27055,Bombus pensylvanicus
6,NULL,2008,8,Illinois,Christian,39.51112,-89.3416,Bombus pensylvanicus
11,NULL,2008,8,Illinois,Christian,39.51112,-89.3416,Bombus pensylvanicus
2,NULL,2009,7,Illinois,Christian,39.51112,-89.3416,Bombus pensylvanicus
22,NULL,2008,8,Illinois,Douglas,39.76056,-88.29737,Bombus pensylvanicus
11,NULL,2008,8,Illinois,Jackson,37.77345,-89.41856,Bombus pensylvanicus
2,NULL,2008,7,Illinois,Mason,40.25329,-90.08789,Bombus pensylvanicus
1,NULL,2009,7,Illinois,Piatt,40.00772,-88.64484,Bombus pensylvanicus
1,NULL,2009,7,Illinois,Piatt,40.00772,-88.64484,Bombus pensylvanicus
8,NULL,2008,8,Illinois,Pope,37.37934,-88.59228,Bombus pensylvanicus
1,NULL,2008,8,Illinois,Pope,37.37934,-88.59228,Bombus pensylvanicus
4,NULL,2009,8,Illinois,Union,37.4471,-89.11745,Bombus pensylvanicus
4,NULL,2009,8,Indiana,Dubois,38.40926,-86.73048,Bombus pensylvanicus
3,NULL,2009,7,Iowa,Crawford,41.99105,-95.39279,Bombus pensylvanicus
6,NULL,2008,9,Iowa,Mahaska,41.32979,-92.64732,Bombus pensylvanicus
1,NULL,2009,7,Iowa,Marion,41.40711,-92.87099,Bombus pensylvanicus
1,NULL,2009,6,Kansas,Douglas,38.75328,-95.26876,Bombus pensylvanicus
36,NULL,2008,7,Kansas,Jefferson,39.14434,-95.50159,Bombus pensylvanicus
3,NULL,2009,6,Kansas,Morris,38.68715,-96.49283,Bombus pensylvanicus
5,NULL,2008,7,Kansas,Rush,38.46469,-99.16946,Bombus pensylvanicus
7,NULL,2009,7,Kentucky,McCracken,37.02527,-88.76222,Bombus pensylvanicus
1,NULL,2009,7,Kentucky,Trigg,36.83592,-87.86253,Bombus pensylvanicus
38,NULL,2009,6,Louisiana,Bienville,32.26892,-93.02177,Bombus pensylvanicus
8,NULL,2009,6,Louisiana,Bossier,32.52578,-93.67943,Bombus pensylvanicus
